sentiment,negative_reason,text
negative,Tell lies,"b'Andrew Scheer suffers from ""insecure hydration"". Every time he lies or is asked a question he\'s uncomfortable answering because he\'s hiding something, he grabs his water glass. It\'s a major tell with him &amp; lately he\'s been really, really thirsty.\n#cdnpoli #elxn43 #NeverScheer'"
positive,,b'Andrew Scheer wants to \xe2\x80\x9cwin back trust\xe2\x80\x9d of Saudi Arabia.\n#elxn43 #cdnpoli \n\n https://t.co/FVkNm2n91D https://t.co/yO76QzYJPu'
negative,Tell lies,"b'Andrew Scheer, like all Conservatives cannot win without cheating. #cdnpoli  #cdnmedia #elxn43 #ItsOurVote  #ChooseForward  #ChooseForwardWithTrudeau  #ChoisirDAvancer https://t.co/XSTyRRNkyZ'"
negative,Scandal,b'Andrew Scheers party just committed at crime.Interference   of an elections. No different then what Donald Trump did. This is pure corruption. https://t.co/aKQDF2IGK5 #KinsellaGate #Kinsella @AndrewScheer @ErinOTooleMP #ChooseForward #elxn43 #cdnpoli #cdnelxn2019 #ChooseForward'
positive,,"b'Andy\xe2\x80\x99s Recipe For Success\n\nPat-a-cake, pat-a-cake My Con man\nBake me a fake cake as fast as you can\nPrick it and pat it and top it with a\nL-I-E\nAnd put it in the oven for Hamish and I\n\n#cdnpoli #elxn43 #dirtypolitics'"
negative,Scandal,"b'Angry that #GretaThunberg interfered in Canadian politics, just days before our federal election?\n\nSIGN the PETITION at https://t.co/MNLSfyUT8e\n\n#elxn43 #abpoli #ableg https://t.co/7THV9vfKtz'"
positive,,b'Anne Moreau created a voter guide to inform young Black women ahead of #elxn43. Wrote about it (en fran\xc3\xa7ais) &amp; also spoke to @BuiltJustice for this story. https://t.co/l5YCbhyOkW'
negative,Tell lies,b'Another #ScheerLies. #elxn43. #cdnpoli https://t.co/rB2e2BvQJn'
negative,Others,b'Another beautiful autumn day and I am not going to let political sniping ruin it. #elxn43 #twomoresleeps https://t.co/V7kDRTG9TA'
positive,,b'Another busy day with South Asian media. Going live on 1320AM with host Kuldip Deepak on Punjab di Goonj to discuss #elxn43'
positive,,b'Another endorsement that the @CPC_HQ can only dream of! @JustinTrudeau @liberal_party #Elxn43 #CDNPoli https://t.co/kEAfSbhqPj'
positive,,b'Another great endorsement for our Prime Minister @JustinTrudeau: @OfficialMLK3! \n\n#cdnpoli #polcan #elxn43 #Canada #Vote https://t.co/gXYxg8lNGW'
positive,,b'Another poll. #elxn43 https://t.co/ZtC4ZV0tpR'
positive,,b'Another wow! The turnouts to see the PM in these Tory ridings is just amazing! #Somethingshappening #ChooseForward #elxn43 https://t.co/OUW273IWsb'
positive,,b'Anxious #AndrewScheer isn\xe2\x80\x99t at all threatened by the far-right PPC \xf0\x9f\x98\x8f #cdnpoli #polcan #elxn43 #ItsOurVote https://t.co/5QfMMUxY6U'
negative,Others,b'Any NDP voters holding out on helping AvK fire Lisa Raitt in Milton... does this help? #cdnpoli #elxn43 https://t.co/VplRNQFovj'
positive,,b'Anybody else feeling a little nervous? #cdnpoli #elxn43 https://t.co/VcyZMhVx2e https://t.co/vf4CD087uG'
negative,Others,b'Anyone else able to read through this tweet without feeling nauseous?\n\n#TriggerChange #cdnpoli #elxn43 #CPC19 #CPC #cpc2019 https://t.co/5o02fxpzNN'
negative,Tell lies,"b'Anyone else scared Monday night, Sheer will unsip his mask(like in Scooby doo) and it is really Harper under the mask? #elxn43'"
positive,,b'Anyone know who made this site and paid for a promoted tweet? #elxn43 https://t.co/vU5LDQ3Uo3'
negative,Tell lies,"b'Anyways. \n\nDon\xe2\x80\x99t believe the trolls &amp; their dirty, filthy mouths. \n\nGet out &amp; vote. \n\n#elxn43 #ChooseForward https://t.co/HHJANsMo48'"
positive,,b'Are you high?  It got once Conservatives lost the election in 2015. #elxn43 #elxn43 I was a single mom.  Ask me why. https://t.co/rm9nbHjizK'
positive,,"b'As a rule, Scheer says the Conservatives don\xe2\x80\x99t make comments on contracts that may or may not exist or vendors that the party may or may not have. #elxn43 #cdnpoli'"
negative,Others,"b'As Election Day grows close, Liberal hacks and partisans remind us we need a progressive govt, but this great interview with @Martin_Lukacs shows how the corporate aligned Liberals don\xe2\x80\x99t deserve your vote. #cdnpoli #elxn43 https://t.co/nc9pqxGYiG'"
positive,,"b'As Jagmeet #Singh condemns terrorism, second video shows him speaking alongside Sikh separatist https://t.co/pPZDNOKhLD #NoWayNDP #LiberalsMustGo #cdnpoli #elxn43'"
positive,,"b'As misinformation spreads, here\xe2\x80\x99s how Canadian voters can stay vigilant https://t.co/9PsfOmRwRa #elxn43 #cdnpoli https://t.co/ibDvgc3L0s'"
negative,Others,"b'As much as I like some of their policies, and really hope some of their individual candidates/incumbents get sent to the Commons, this #elxn43 has been a shitshow for the Tories.  Falling leader approval, stagnating party numbers, collapse in QC, no unifying message. #cdnpoli'"
positive,,b'Ask them if we\xe2\x80\x99re using \xe2\x80\x98first past the post\xe2\x80\x99 for this election.  \n\n#cdnpoli #elxn43 https://t.co/0kJYVzhojF'
positive,,"b'Asked about what he would be willing to compromise in order to form minority government, Conservative Leader Andrew Scheer says over next few days he is asking for strong mandate, while Justin Trudeau is contemplating what he might have to do to earn NDP support #cdnpoli #elxn43 https://t.co/0S6e6QalI4'"
positive,,"b'Assunta, our CFO, is celebrating 50 years in Canada! \n\nShe would love you to help us celebrate by making a small donation \xf0\x9f\x98\x89\n\nYou can donate here: https://t.co/ZRkwtIvLeL\n\n#elxn43 https://t.co/rONDb7oraX'"
negative,Others,"b'At this point, here is the path to finishing first for Scheer:\n\n- Bloc Quebecois needs to beat the polls and/or have a really efficient vote\n- Polls need to be wrong in Ontario in average. Not by 10 points, but like 3-4pts\n- Anything West of Ontario creates a blue wave #elxn43'"
negative,Scandal,"b'At this point, it does seem the democratic sky is falling, and I cannot expect a political party to advertise voting for another party.\n#cdnpoli #elxn43 https://t.co/zC74lBa2dA'"
negative,Others,"b'Baa, baa, black sheep\nHave you wool to cover their \xf0\x9f\x91\x81s?\nYes sir, yes sir, three bags full.\nOne for the Andy, \nOne for Hamish, \nAnd one for that guy Kinsella\nWho lives down the lane.\n\n#cdnpoli #elxn43 #dirtypolitics'"
positive,,"b'BC-ers have made it clear: now is the time to put #WildFirst! Together, in less than 30 days:\n\xe2\x9c\x85 125 #elxn43 candidates across all major parties have signed, w/representation from every riding in BC\n\xe2\x9c\x85 74% of all BC candidates tracked\n\xe2\x9c\x85 1,500+ emails sent to BC candidates https://t.co/Wbz3az8cj4'"
positive,,b'Be on the right side of history. Ditch the genocidal LPC and CPC tag team and join the #UpRiSingh vote @NDP they are #InItForYou This is my official endorsement. #cdnpoli #elxn43 https://t.co/LBcx8JPmBp'
positive,,b'Beautiful morning for some D2D with @angelicabhill for @SeamusORegan! #elxn43 #ChooseForward \xe2\x9c\x8a\xf0\x9f\x8f\xbb\xf0\x9f\x9a\xaa\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/sXEM7Ub44Z'
positive,,b'Been a huge fan of @vankayak. Still recall when he was the flag bearer of Canadian flag during 2004 Olympics  closing ceremonies and 2008 opening ceremonies. I am rooting for the winner of 8 Olympic medals including a Gold to emerge victorious in #Milton. #cdnpoli #elxn43 https://t.co/MflAHHd6W8'
positive,,"b'Before hitting the pavement, we all texted five people to make sure they knew how and where to vote on October 21. Are YOU ready for Monday? \nMore info here: https://t.co/ymyjAzvX6u\n\n#Elxn43 #Cooperate4Climate https://t.co/oZRo2G46d9'"
positive,,b'believes in proportional treating.\xf0\x9f\x8d\x8a #elxn43 #UpRiSingh https://t.co/1nkPJSuEHc'
negative,Tell lies,b'Bernier seeks Elections Canada investigation into Conservative-financed smear campaign https://t.co/Pu5wnpHFjI #cdnpoli #elx43 #elxn43 #ChooseForward https://t.co/usr9qpVtW8'
negative,Others,"b'Bernier..no one cares, you were winning nothing anyway..#elxn43'"
positive,,"b'Best #childcare plan, and a whole lot more good, affordable stuff to strengthen Canada.\nhttps://t.co/xOuY6Z0zyR\n#elxn43 https://t.co/qbBsAo55ss'"
positive,,b'Best not to forget how adept @justintrudeau is on the foreign relations side of the ledger.  #cdnpoli #elxn43 #India \n\nhttps://t.co/kB2U7oUu76'
positive,,b'Big crowd of volunteers ready to support @HeatherMNow on Election Day! #elxn43 #cdnpoli'
negative,Scandal,b'Biggest threat to democracy is not a coalition but allowing #SNCLavalinScandal to stand - this obscene attack on democratic institutions by political operatives led by our PM means nothing is off the table - #elxn43 #decisionday #publicinquiry vote for @Puglaas &amp; @janephilpott https://t.co/j2KtNoqAzw'
positive,,b'Bill Morneau addresses the Trudeau Rally at the Milton Banquet and Conference Centre.\n#cdnpoli #elxn43 #ChooseForward #Trudeau https://t.co/GfaH64TWKV'
positive,,"b'Blast from the Near Past &gt; Suncor CEO slams climate change deniers, politicians who cater to them. So come on down @AndrewScheer https://t.co/Y8gOB6W9w3 #elxn43 #cdnpoli'"
positive,,b'Both Liberals and Conservatives are up to their politics as usual; almost to the last hour of this campaign. \n#VoteNDP for the change we need. \n#UpRiSingh #cdnpoli #elxn43'
positive,,b'Brantford. Orillia. Milton. Niagara Falls. Thousands of Canadians showing up everywhere on the final stretch to cheer on the PM #cdnpoli #elxn43 https://t.co/7yIX36rmHn'
negative,Scandal,"b'Breaking: The dark clown, or whatever Kinsella calls himself, re-emerges in #elxn43 yet again. This was a really bad hire, Andrew. But honestly good for Warren; one time in the 90\xe2\x80\x99s he was kinda something. It\xe2\x80\x99s now 2019, he\xe2\x80\x99s a big 0, but we\xe2\x80\x99re still talking about him. #cdnpoli https://t.co/Rg9dlIwpzb'"
negative,Others,b'But my favourite answer was the question about how I like Trudeau. \xe2\x80\x9cHe\xe2\x80\x99s a doofus.\xe2\x80\x9d I also added details about how he talks like a Dipper and governs like a Tory. #elxn43'
negative,Tell lies,"b'By ""Postmedia News""? Why is the author afraid to be named? \n\n#cdnpoli #elxn43 https://t.co/zeCzUWe0Vq'"
positive,,b'C\xe2\x80\x99mon Griesbach it is time for change! #elxn43 #cdnpoli43 https://t.co/zoOyirR3T1'
positive,,b'Can the level of excitement get any higher?\n\nCould our platform be any better (for #Canadians)?\n\nCould our leader be any cooler?\n\n#WeReady!\n\n#SinghUpswing #SinghSurge #UpriSingh\n#elxn43 #MarkhamStouffville #Willowdale\n#NDP2019 #NDP #ImWithJagmeet\n@theJagmeetSingh @NDP\n#Canada \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 https://t.co/kOjZqFLc47'
positive,,"b'Can you ask @AndrewScheer that too while you\xe2\x80\x99re at it? He\xe2\x80\x99s the American who can actually run there, you know. #CDNPoli #elxn43 https://t.co/3JoFcbaT38'"
negative,Tell lies,b'Can\xe2\x80\x99t put the toothpaste back in the tube @theJagmeetSingh You said it. You own it. Being sorry doesn\xe2\x80\x99t make it go away. You insulted a very large number of #Canadians. #elxn43 has been a shit show by all parties!! https://t.co/KGL2hSCneH'
negative,Tell lies,"b'Canada deserves better than @AndrewScheer and the @CPC_HQ.\n\nI hope every #Conservative in Canada wakes up to the fact that the #CPC is just a pack of wolves in sheep\'s clothing. There\'s nothing ""Conservative"" about them.\n\nVote @MaximeBernier and the @peoplespca.\n\n#CdnPoli #elxn43 https://t.co/9BiExodez7'"
negative,Economy,b'Canada is on a dangerous trajectory going down a path of radical left wing politics where everyone wants to rely on the government for everything with no idea of where the money will come from. \xf0\x9f\xa4\x94\n@liberal_party @CPC_HQ @NDP \n#cdnpoli #cdnelxn2019 #canadavotes2019 #elxn43 #Canada https://t.co/GtXTtAVNVO'
positive,,"b'Canada needs a minimum education requirement, minimum years expertise, or be over 65 with vast brain-stuff capabilities for some capacities.\n\n#scicomm #cdnpoli #education #votescience #elxn43 #publicsafety #security #economics #innovation #greeneconomy https://t.co/8ZXvpqBS4n'"
positive,,"b'Canada Week poll #4 on the #GreenParty making their stand in BC:\n\nOver/under federal Green seats at 3.5, which do you choose?\n\n#cdnpoli #elxn43 \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6'"
positive,,b'Canada\xe2\x80\x99s election is on October 21 \xe2\x80\x94 here\xe2\x80\x99s what you need to know to vote on Monday. #elxn43 https://t.co/b9rywfaFsW'
negative,Women Reproductive right and Racism,"b'Canadian LGBTQ+ kids are still 4x more likely to attempt suicide than their straight peers, yet many of @AndrewScheer\xe2\x80\x99s @CPC_HQ candidates oppose inclusive programs that are proven to lower suicides among straight and gay kids alike. #ChooseForward and vote #LPC. #cdnpoli #elxn43'"
negative,Economy,"b'Canadians please be informed when you vote! The future of our economy, the future of our children and the future of our planet are at stake. Vote strategically! #elxn43 #cdnpoli https://t.co/i25WYjZ5YJ'"
positive,,"b'Canadians should really take the time to watch this short video https://t.co/IKe2sVTsOx  before OCT 21, 2019\n\nYour opinions and how you vote may change.\n\n#elxn43\n#cdnpoli https://t.co/lKrambt5Dl'"
positive,,"b'CANDIDATE VIDEO BELOW ... Work hard, Be yourself &amp; Good Things will happen #onpoli #cdnpoli #NDP #ANewDealForPeople works for all of us and not just some of us #Jerome4Oakville #onyourside #LetsDoThis #Oakville #elxn43\n#InItForYou #singhsurge #UpRiSingh  https://t.co/psSueLZAri'"
positive,,"b'Canvassing with Khairul in Logan this morning.\nBe fearless.  Vote for what you believe in.\n@NDP fights for you, no matter what: https://t.co/LtwH6mAOJz\nShow your support. \nGet a lawn sign, volunteer, donate. \nCall 867-668-4637 or donate at https://t.co/MZNvPbTDxF\n#elxn43 #ytpoli https://t.co/C5hlgq6z43'"
positive,,"b'Caption everyone in the background. \n\n""We\'re F*cked!""\n\n#elxn43 #cdnpoli #KinsellaGate #Kinsella #WeakAndy https://t.co/QfZpNPthnr'"
negative,Scandal,b'Careful #Canada! We don\xe2\x80\x99t want these Trumpsters ruining our lives and our country! #elxn43 #CanadaDeservesBetter #canadavotes2019 #cdnpoli https://t.co/gNP6g4AJUk'
negative,Others,"b'Careful how you vote in\xc2\xa0Canada\xe2\x80\x99s federal election\xc2\xa0on Monday, especially if you\xe2\x80\x99re\xc2\xa0young and female. You are vulnerable. Think strategically\n https://t.co/gf9SyPRknP\n\n#cdnpoli #elxn43'"
positive,,"b'Cast your vote to help animals on Monday\xe2\x80\x99s federal election day! \xf0\x9f\x99\x8c We\xe2\x80\x99re endorsing candidates who are committed to being champions for animals, including Liberal candidate for Beaches-East York @beynate. Learn more: https://t.co/H2c9eujRPN #cdnpoli #elxn43 #VoteForAnimals https://t.co/2QkI7cERcL'"
positive,,"b'Cast your vote to help animals on Monday\xe2\x80\x99s federal election day! \xf0\x9f\x99\x8c We\xe2\x80\x99re endorsing candidates who are committed to being champions for animals, including Liberal candidate for Davenport @JulieDzerowicz. Learn more: https://t.co/H2c9eujRPN #cdnpoli #elxn43 #VoteForAnimals https://t.co/PvcgeKEPRa'"
positive,,"b'Cast your vote to help animals on Monday\xe2\x80\x99s federal election day! \xf0\x9f\x99\x8c We\xe2\x80\x99re endorsing candidates who are committed to being champions for animals, including Liberal candidate for Oakville North\xe2\x80\x94Burlington @PamDamoff. Learn more: https://t.co/H2c9euBten #cdnpoli #elxn43 #CanadaVotes https://t.co/vBthY6Yys0'"
positive,,"b'Cast your vote to help animals on Monday\xe2\x80\x99s federal election day! \xf0\x9f\x99\x8c We\xe2\x80\x99re endorsing candidates who are committed to being champions for animals, including Liberal candidate for Toronto Danforth @juliedabrusin. Learn more: https://t.co/H2c9euBten #cdnpoli #elxn43 #VoteForAnimals https://t.co/higi74205o'"
positive,,"b'Cast your vote to help animals on Monday\xe2\x80\x99s federal election day! \xf0\x9f\x99\x8c We\xe2\x80\x99re endorsing candidates who are committed to being champions for animals, including Liberal candidate for Vancouver Centre @HedyFry. Learn more: https://t.co/H2c9euBten #cdnpoli #elxn43 #VoteForAnimals https://t.co/s9lDoTOmXj'"
positive,,"b'Cast your vote to help animals on Monday\xe2\x80\x99s federal election day! \xf0\x9f\x99\x8cWe\xe2\x80\x99re endorsing candidates who are committed to being champions for animals, including NDP candidate for Vancouver Kingsway @DonDavies. Learn more: https://t.co/H2c9eujRPN #cdnpoli #elxn43 #VoteForAnimals https://t.co/F5nrDwjusF'"
positive,,b'Catching up on Canadian politics the weekend before the election? Watch the full replay of the English-language federal leaders debate from earlier this month. #elxn43 https://t.co/60pXAbUm91'
positive,,b'Challenge to all - do you know the facts on border crossings in Canada? #cdnimm #Elxn43 #cdnpoli https://t.co/gYVGn7id8W'
positive,,b'Challenge to Trudeau voters:\nGive one positive reason why you are voting (or voted in advance polls) for Trudeau (meaning not a reason to vote against another candidate but a reason to vote FOR Trudeau).\n\n#elxn43 #cdnpoli'
positive,,b'Chasing the West Coast vote: Here\xe2\x80\x99s what the major parties have for B.C. in their platforms https://t.co/4nIfeRm8YS #elxn43'
positive,,b'Check out the Freudian slip \xf0\x9f\x98\x82 #PPC #VanGran #debates #cdnpoli #elxn43 #responsibility #freedom #respect #fairness https://t.co/rZnP3fO5tK'
positive,,b'Classic @CPC_HQ #transparency #cdnpolil #elxn43 https://t.co/7XIXjV5E6T'
positive,,"b'Climate change. \n\nIt\xe2\x80\x99s the MOST important election issue for everyone. It pays the bills, helps you keep your home, and if it wasn\xe2\x80\x99t for our government\xe2\x80\x99s climate change plans, you\xe2\x80\x99d be out of work.  \n\nWe know there\xe2\x80\x99s nothing you care about more. #elxn43 #elxn2019 https://t.co/QPs9mN86yY'"
positive,,"b'Cmon, Milton, #GoForGold with @vankayak !  You know you wanna!  #Cdnpoli #elxn43 #ChooseForward'"
negative,Scandal,"b'Coffin. Meet Nail.\nIf the Kinsella story this is going to be the final message for the #cpc over these final 48 hours, this thing is over. #elxn43 https://t.co/YNQztGscxq'"
negative,Others,b'Conrad Black: Trudeau has failed. Voters should toss him out https://t.co/mgtbbbaMQv #trudeaumustgo #trudeaublackface #TrudeauWorstPM #TrudeauMustResign #cdnpoli #polcan #elxn43 #votetrudeauout2019 #votecpc #scheer4pm'
negative,Others,b'Conrad Black: Trudeau has failed. Voters should toss him out https://t.co/w7tetaStpx #cdnpoli #elxn43'
negative,Tell lies,"b'Cons are smearing &amp; stalking everybuddy they\xe2\x80\x99ve deemed \xe2\x80\x98radical\xe2\x80\x99 or obstacles to power. That is their demonstrated MO. They\xe2\x80\x99re really bad guys up to their eyeballs in lies, corruption &amp; organised crime.\n\n*crosses \xf0\x9f\x92\x9c*\n\n#CDNvote2019 #elxn43\n#CanadaVotes #elxn2019\n#ChooseForward https://t.co/zKG1kpVnid'"
positive,,b'Conservative https://t.co/HkmcNtGyP8 includes stopping sewage overflows into aquatic ecosystems like the Ottawa River. #VoteCarol for #OttawaCentre #elxn43 https://t.co/nHA1ecw7eO'
negative,Scandal,"b'Conservatives claim they want objectivity in their news reporting, however, they really just want to be told what they want to hear.\n#elxn43 #cdnpoli\n#DefundCBC #BoycottPostmedia'"
positive,,b'Consultations must discuss  CRPD Article 28 an adequate std of living &amp; social protection https://t.co/zCD7bhEjmk &amp; 23 Respect for home/family https://t.co/kMtZEzs6nf  \n#onpoli #nspoli #ontpoli #abpoli #nlpoli #skpoli #mbpoli #nbpoli #NWTpoli #qcpoli #Elxn43 #nspolitics #peipoli https://t.co/p0woe4NVZ9'
negative,Scandal,"b'Conversative representatives keep calling my house asking if we need a ride to vote on Monday. Right, because you giving me a ride to the polls will definitely convince me to be a conservative... \xf0\x9f\xa5\xb4 #elxn43'"
negative,Scandal,"b'cool we\xe2\x80\x99ve reached the \xe2\x80\x9cyes, we want your vote; no, we won\xe2\x80\x99t answer any questions\xe2\x80\x9d portion of #elxn43'"
negative,Others,b'Couldn\xe2\x80\x99t find anyone willing? #elxn43 https://t.co/iSSYdY5PLH'
negative,Scandal,b'CPCers don\xe2\x80\x99t like what I say and they are reporting my account. The truth will prevail and you can\xe2\x80\x99t do anything about it.\n#cndpoli #elxn43 #PPC2019 https://t.co/0lbvVNJ86x'
positive,,b'Damn Milton!! Halton Region is turning Red on October 21st. #elxn43 #ChooseForward https://t.co/QUbxXCQu4x'
positive,,"b'Dear @camrclark: As was true for his father after the 1979 election, Justin Trudeau will have to decide whether to resign or test confidence if the Conservatives win more seats on Monday. #cdnpoli #elxn43 https://t.co/bbjM9dM82P'"
positive,,"b'Dear Voters, Canada\xe2\x80\x99s Position in the Global Economy Matters Too  https://t.co/ADLmMokIOf This has been a less popular topic with voters but #Cda needs to grow its #economy to sustain its privileged nation status.  #competitiveness #innovation #IP #cdnpoli #elxn43'"
positive,,b'Delbert Riley is a leader to First Nations across the country. He helped to negotiate the protection of treaty rights in the Constitution. He  continues to advocate for a higher quality of life for First Nations.  I am honoured to have his support and endorsement. #elxn43 #fnpoli https://t.co/zw8wem7UfH'
positive,,"b'Demand CRPD Article 28 an adequate std of living &amp; social protection https://t.co/zCD7bhEjmk &amp;  Economic Social, &amp; Cultural Rights for all!\nhttps://t.co/H0JQimBoQq \n#onpoli #nspoli #ontpoli #abpoli #nlpoli #skpoli #mbpoli #nbpoli #NWTpoli #qcpoli #Elxn43 #nspolitics #peipoli https://t.co/WxR46z3yiG'"
negative,Scandal,b'Despicable. This is further proof of how morally and intellectually corrupt the @CPC_HQ is and it appears that even @jonasjsmith is ok with it as he has never commented on countless requests on a variety of topics involving the #CPC Shame! #whitehorse #yukon #ytpoli #elxn43 https://t.co/X41LLf0L34'
positive,,b'Did anyone get an invite from Ana to attend a #conservative rally tonight?  How desperate are they for supporters that they are asking me? #lpc #cpc #cdnpoli #cdnelxn2019 #elxn43'
negative,Scandal,b'Did my Conservative opponent in #SaintJohn-#Rothesay @rodneywestonsj know about this mudslinging campaign paid by his Leader?\n\nDoes he approve?\nIs this the type of politics he wants for #SaintAwesome?\n\n#elxn43 #PPC2019 #adam4sj\n#nbpoli #NewBrunswick #YSJ \nhttps://t.co/gvT5TsJqZR'
positive,,b'Dirty politics is the hallmark of those who have no respect for the voters they seek to manipulate. Stand with @MaximeBernier and let\xe2\x80\x99s #MakeCanadaBetterTogether #VotePPC #elxn43 #cdnpoli https://t.co/DQhsDNUg7t'
positive,,b'Dirty politics is the hallmark of those who have no respect for the voters they seek to manipulate. Stand with @MaximeBernier and let\xe2\x80\x99s continue #MakingCanadaBetterTogether #VotePPC #elxn43\xc2\xa0 #cdnpoli https://t.co/6tJ5IOeg3G'
negative,Tell lies,"b'Disappointed with @RosieBarton and her colleagues in #CDNmedia.\n\nHow about we all agree you collectively failed in cutting through the partisan bull$hit and lies?\n\nIn effect, you added to it by not addressing it.\n\n#Cowards\n\n#cdnpoli #elxn43 #ItsOurVote https://t.co/wdy7n8KfRz'"
negative,Others,b'Disgusting all around https://t.co/HEuMkGou6B #cdnpoli #elxn43'
positive,,b'Do it #YEG #cndpoli #elxn43 https://t.co/yAMDj3xIDi'
positive,,b'Do newspaper endorsements matter?\n\n#cdnpoli #elxn43'
negative,Others,b'Do we want a Trumpian/Pence PM named #Scheer for #Canada ? Do we want PM #Scheer who shamelessly spews #FakeNews every day like #Trump ? Do we want a PM who aligns with \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 republican values in Ottawa? #elxn43 #elxn2019 https://t.co/cJgQFmJJbA'
positive,,b'Do you know how to vote?  \nhttps://t.co/lIBNUj5Joi\n#federal #elections #elxn43 #canada #macewan #yeg'
positive,,b'Do you know who you\xe2\x80\x99re voting for on Monday? \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\n\n#SaturdayThoughts \xe2\x98\x95\xef\xb8\x8f #elxn43'
negative,Scandal,b'Do you really think voters see you as anything other than a pathetically transparent sock-puppet account for dark money? #cdnpoli #elxn43 https://t.co/G0jBgqPXSi'
negative,Tell lies,b'Dodgin Andy. #Scheer dodged question TWENTY-THREE TIMES!!! #elxn43 #cdnpoli #ScheerHypocrisy #scheerlies https://t.co/8B9tc88x4y'
positive,,b'Does @GretaThunberg know about this? \xf0\x9f\x99\x80\n\n#TrudeauMustGo #elxn43 #cdnpoli #ScheerMajority \xe2\x9c\x88\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8f https://t.co/yuhteR3SXL'
positive,,b'Does he even understand the government he feels he is the best candidate to lead? #elxn43 https://t.co/g78P5MEo38'
positive,,b'Does strategic voting make sense?\n\n\xe2\x80\x9cMake 2015 the last election under FPTP.\xe2\x80\x9d\n\n\xe2\x80\x9cMake every vote count.\xe2\x80\x9d\n\nSo much for #Trudeau promises.\n\n#ProportionalRepresentation is the answer.\nSupport Parties who support PR.\n#cdnpoli #elxn43  https://t.co/bL6tBQm6yL'
negative,Scandal,b'Does this apply to the 600 million dollars appropriated for the Canadian media?  How about the fact that the CBC is paid by the government?  Double standard Liberal media #elxn43 #cdnpoli #ItsOurVote https://t.co/8Npsg18WN9'
positive,,b'Doing our final rounds of canvassing throughout Dundas! Constituents are really excited about making progress on Monday!! #elxn43 #greenwave https://t.co/ANK6XFXMzj'
positive,,b'Dont be fooled. Vote for a Conservative majority!\n#elxn43 #TrudeauMustGo https://t.co/NkeS6WsRjF'
negative,Tell lies,b'Drink up Andy...not sure water suffices to wash away all those Lies from your lips. \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\n\n#elxn43 \n#cndpoli\n#cdnelxn2019 https://t.co/6ecdp8saQq'
negative,Others,b'Election Day feels like the series finale of a show I stopped caring about a while ago. #elxn43'
positive,,"b'Elizabeth May and Dana Taylor greeting volunteers in West Vancouver (this riding goes all the way to the Sunshine Coast, up the Sea to Sky highway). Crowd here probably about 40 strong. #elxn43 https://t.co/SsNnpKg7Y7'"
negative,Scandal,b'Elizabeth May hired toxic Kinsella who was mainly contracted out to push in Scheer. Brilliant strategist. lol Reminds me of when BCLiberals donated full front page page ad for Greens. Enjoy your 2 seats.\n#KinsellaGate #ThereIsNoGreenWave #bcpoli #elxn43 #victoria'
positive,,b'Encouraging to hear from enthusiastic student voters who are researching the platforms of the political candidates and engaging in the political process.  #StudentVoteCanada #studentvote2019 #ElectionDay #CapeBretonCanso  #elxn43 #PowerToTheInformed https://t.co/AqsE1iNkNP'
positive,,b'Ending poverty is more than an election talking point | from @CWP_CSP https://t.co/2dm3wMKMy3 #elxn43 #ChewOnThis https://t.co/nPecI9ixPE'
positive,,b'Enjoyed hearing @theJagmeetSingh speak last night in Victoria. #elxn43 #cdnpoli @Laurel_BC @NDP #yyj https://t.co/ivZ8yCFEMg'
positive,,b'Enter: Jean Chr\xc3\xa9tien &amp; @cathmckenna! \n\nIncredible energy at Team McKenna\xe2\x80\x99s final campaign rally! \n\n#cdnpoli #elxn43 #ChooseForward https://t.co/PaIpe3L4bH'
negative,Scandal,b'ESTABLISHMENT DEFINITION:\nThe existing POWER STRUCTURE in society; the DOMINANT GROUPS in society and their customs\n\nDo you get it now who is rigging the election? \n-The 1%\n-Pollsters \n-The Partisan MSM\n-Defamation Agencies like Daisy\n-Corporations\n-Union Cartels\n#cndpoli #elxn43'
negative,Others,b'Even the Left in USA is shaking their heads \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #elxn43 https://t.co/Pv4WoNxwp0'
negative,Scandal,"b'Events of the last day demonstrate that the Conservatives aren\xe2\x80\x99t prepared to accept a level and democratic playing field. Of course, they signalled that with the 2006 In-and-Out election cheating scheme. #cdnpoli #elxn43'"
positive,,b'Every party doing better than they did the last go around. Progress. \xf0\x9f\x91\x8f #elxn43 https://t.co/gwGmCV168k'
negative,Healthcare and Marijuana,"b'Every Province forced to sell Trudeau weed is losing money.\n\nEvery weed company is losing money\n\nTrudeau can\xe2\x80\x99t even get selling pot right!\n\nThe verdict is in, and Year One of legalized cannabis in Canada was a dud\n\n#elxn43 #cdnpoli  https://t.co/ObNUPIv6qf'"
